Brand,Coe_left,Mileage,Road Tax,COE,Engine Cap,Curb Weight,Manufactured,OMV,Power,No. of Owners,Price,Type_Hatchback,Type_Luxury Sedan,Type_MPV,Type_Mid-Sized Sedan,Type_SUV,Type_Sports Car,Type_Stationwagon,Transmission_Auto,Transmission_Manual
BMW,9.31,95000,1329,34935,1995,1455,2010,28183,110,5,86888,0,0,0,0,1,0,0,1,0
BMW,0.98,105000,1210,85216,1997,1610,2012,42536,135,3,42800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,6.44,66500,1202,57414,1991,1605,2016,50945,135,2,152000,0,1,0,0,0,0,0,1,0
Porsche,6.4,120000,4189,50451,3387,1395,2007,59163,217,4,108800,0,0,0,0,0,1,0,1,0
Nissan,2.99,113000,821,13943,1498,1175,2009,19247,80,4,22800,0,0,0,1,0,0,0,1,0
Toyota,8.32,132000,1966,37941,2362,1770,2008,35805,125,3,69800,0,0,1,0,0,0,0,1,0
Kia,6.71,45000,738,41400,1591,1295,2017,15203,95,2,68800,0,0,0,1,0,0,0,1,0
Honda,8.25,18700,242,14917,1597,1237,2019,20072,92,1,79888,0,0,0,1,0,0,0,1,0
Kia,7.94,35000,738,23568,1591,1287,2018,18515,93,1,81000,0,0,0,1,0,0,0,1,0
Peugeot,7.48,55348,508,25000,1199,1190,2018,21414,96,1,86800,0,0,0,0,0,0,1,1,0
Mercedes-Benz,7.84,22000,740,32909,1595,1490,2018,35914,115,1,145800,0,1,0,0,0,0,0,1,0
Nissan,5.42,62288,1210,53001,1997,1379,2016,19653,106,1,64400,0,0,0,0,1,0,0,1,0
Toyota,2.77,112338,1264,16509,1794,1310,2009,18662,97,2,24555,0,0,1,0,0,0,0,1,0
Audi,7.31,30000,392,28000,999,1315,2018,23688,85,2,99800,0,0,0,0,1,0,0,1,0
Jeep,6.26,130000,5043,50355,3778,2125,2007,34111,146,4,73800,0,0,0,0,1,0,0,1,0
Hyundai,7.68,128264,959,25727,1591,1264,2009,10658,89,1,47900,0,0,0,1,0,0,0,1,0
Honda,5.6,68000,684,56206,1498,1324,2016,27624,127,1,81800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,5.39,80000,740,57903,1595,1425,2016,36548,115,2,111888,0,1,0,0,0,0,0,1,0
Kia,4.12,152000,812,16438,1591,1232,2010,15484,92,4,33888,0,0,0,0,0,1,0,1,0
Mercedes-Benz,7.47,35000,2382,31301,2996,1940,2018,91812,200,1,296800,0,1,0,0,0,0,0,1,0
Kia,6.62,70000,738,38200,1591,1295,2017,11608,95,1,61800,0,0,0,1,0,0,0,1,0
BMW,8.4,6460,1210,41805,1998,1660,2019,43394,135,1,198000,0,0,0,0,1,0,0,1,0
Honda,7.56,24500,682,25501,1496,1190,2018,22459,96,1,80800,0,0,0,0,1,0,0,1,0
Volkswagen,4.56,11300,1194,55001,1984,1689,2015,34986,155,1,89800,0,0,0,0,1,0,0,1,0
Honda,9.05,16000,682,31210,1496,1130,2019,20445,95,1,82500,0,0,0,0,0,0,1,1,0
Toyota,6.97,170000,965,38192,1598,1195,2008,16777,80,2,44800,0,0,0,1,0,0,0,1,0
Audi,7.72,37791,1194,36667,1984,1535,2018,38186,140,1,147800,0,1,0,0,0,0,0,1,0
Maserati,3.88,16000,5030,71921,4691,1880,2014,134057,338,2,260000,0,0,0,0,0,1,0,1,0
BMW,9.9,117342,2362,47316,2979,1700,2010,63320,225,2,96800,0,1,0,0,0,0,0,1,0
Audi,4.81,87362,624,46502,1395,1450,2016,32076,110,2,81500,0,1,0,0,0,0,0,1,0
Mercedes-Benz,4.98,122000,2382,46502,2996,1940,2016,89948,200,1,203888,0,1,0,0,0,0,0,1,0
Mazda,9.28,5000,682,37766,1496,1067,2019,18205,85,1,81800,1,0,0,0,0,0,0,1,0
Mercedes-Benz,1.84,49400,974,73900,1796,1650,2012,52216,150,2,64800,0,1,0,0,0,0,0,1,0
Audi,6.26,84000,1194,49000,1984,1535,2017,39560,140,2,124888,0,1,0,0,0,0,0,1,0
Mercedes-Benz,6.97,65000,740,37605,1595,1425,2018,37480,115,1,128800,0,1,0,0,0,0,0,1,0
Mitsubishi,5.98,73000,738,51600,1590,1284,2016,13468,86,2,59800,0,0,0,1,0,0,0,1,0
BMW,6.94,39900,2384,38501,2998,1770,2017,90911,240,1,249900,0,1,0,0,0,0,0,1,0
Nissan,4.89,120600,508,43000,1198,1044,2016,13026,58,2,44800,1,0,0,0,0,0,0,1,0
Honda,9.35,4432,578,36534,1317,1030,2019,16209,73,1,79888,1,0,0,0,0,0,0,1,0
Mitsubishi,7.02,61292,1210,37989,1998,1480,2018,19130,110,1,88800,0,0,0,0,1,0,0,1,0
MINI,7.82,174000,890,25525,1598,1205,2009,30413,88,4,64777,0,0,0,0,0,1,0,1,0
Toyota,5.46,57000,682,50000,1496,1320,2016,19112,80,2,58800,0,0,1,0,0,0,0,1,0
Hyundai,7.9,112000,886,26175,1591,1264,2009,9306,89,1,44800,0,0,0,1,0,0,0,0,1
Toyota,7.06,40000,1792,33900,2494,1475,2018,29723,133,1,94800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,6.43,72792,2382,50001,2996,2180,2017,77844,270,2,238800,0,0,0,0,1,0,0,1,0
Mitsubishi,4.93,86000,1210,49602,1998,1355,2016,17632,110,1,58800,0,0,0,0,1,0,0,1,0
Mazda,5.56,67000,682,49751,1496,1321,2016,19247,88,1,59800,0,0,0,1,0,0,0,1,0
Mitsubishi,9.3,23000,1210,37102,1998,1480,2020,24720,110,1,118777,0,0,0,0,1,0,0,1,0
Mazda,7.26,91000,1210,32551,1998,1572,2018,27823,121,1,102888,0,0,0,0,1,0,0,1,0
Mercedes-Benz,5.57,102000,3573,52660,2997,1850,2006,81924,170,3,61800,0,1,0,0,0,0,0,1,0
Mitsubishi,8.03,19631,506,29159,1193,940,2019,13423,59,1,62800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,9.57,68500,742,37303,1597,1500,2011,31979,115,2,72800,0,1,0,0,0,0,0,1,0
Mitsubishi,9.22,5000,70,15699,1193,945,2020,14537,59,1,56800,0,0,0,1,0,0,0,1,0
Mitsubishi,8.01,20500,1210,42564,1998,1480,2018,22595,110,1,102800,0,0,0,0,1,0,0,1,0
Toyota,7.82,47500,1792,39401,2493,1980,2018,43482,134,1,172800,0,0,1,0,0,0,0,1,0
Audi,4.01,42000,620,66590,1390,1125,2010,32390,90,2,64000,1,0,0,0,0,0,0,1,0
Honda,2.7,150000,767,12864,1339,1010,2008,14665,73,5,23800,1,0,0,0,0,0,0,1,0
Daihatsu,2.65,163000,887,13024,1495,1200,2008,17477,77,2,21800,0,0,0,0,1,0,0,1,0
Mitsubishi,2.91,133000,889,13943,1499,1313,2009,19550,80,5,23000,0,0,0,1,0,0,0,1,0
Honda,7.4,110000,1271,32279,1799,1219,2008,23035,103,6,62800,0,0,0,1,0,0,0,1,0
Audi,5.89,37400,1194,54406,1984,2050,2016,58993,185,1,173000,0,0,0,0,1,0,0,1,0
Nissan,6.63,25000,70,29791,1198,1048,2017,13622,58,1,43800,1,0,0,0,0,0,0,1,0
Volkswagen,4.97,68000,1194,47000,1984,1790,2013,28478,147,2,83000,0,0,1,0,0,0,0,1,0
Mercedes-Benz,5.13,50000,740,47020,1595,1395,2016,23217,90,2,75800,1,0,0,0,0,0,0,1,0
Hyundai,6.44,35000,238,30112,1591,1345,2017,11960,93,1,53800,0,0,0,1,0,0,0,1,0
Mazda,1.98,93788,1212,65001,1999,1527,2013,20582,106,3,31900,0,0,1,0,0,0,0,1,0
Volkswagen,2.9,182609,744,13088,1390,1285,2009,23955,118,4,30000,0,0,0,0,0,1,0,1,0
Honda,6.63,25000,578,41400,1318,1052,2017,15224,73,1,62800,1,0,0,0,0,0,0,1,0
Mazda,5.07,65000,682,55200,1496,1321,2016,16287,88,2,53800,0,0,0,1,0,0,0,1,0
Mazda,5.18,102000,682,53000,1496,1321,2016,16723,88,3,51800,0,0,0,1,0,0,0,1,0
Mitsubishi,1.01,300000,1028,25313,1584,1162,2007,9975,79,5,12000,0,0,0,1,0,0,0,0,1
Toyota,7.02,73000,1792,38700,2494,2055,2018,48192,134,2,172000,0,0,1,0,0,0,0,1,0
Hyundai,6.69,60653,738,40000,1591,1345,2018,11491,93,2,71550,0,0,0,1,0,0,0,1,0
Porsche,8.83,2241,2380,36000,2995,2030,2020,97408,250,1,408000,0,0,0,0,1,0,0,1,0
Honda,1.46,200000,826,20997,1339,1040,2007,13710,60,3,11800,1,0,0,0,0,0,0,1,0
Citroen,5.56,38808,70,33991,1199,1240,2016,18879,96,2,39999,0,0,0,0,1,0,0,1,0
